"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Tasks performed in the legal domain through Deep Learning: A bibliometric review (1987–2020)","A. Montelongo; J. L. Becker","Universidade Federal do Rio Grande do Sul,Porto Alegre,Brazil; Fundação Getulio Vargas (FGV/EAESP),São Paulo,Brazil","2020 International Conference on Data Mining Workshops (ICDMW)","16 Feb 2021","2020","","","775","781","Deep Learning (DL) has become the state-of-the-art method for Natural Language Processing (NLP). During the last 5 years DL became the primary Artificial Intelligence (AI) method in the legal domain. In this work we provide a systematic bibliometric review of the publications that have utilized DL as the primary methodology. In particular we analyzed the performed objectives (performed tasks), the corpus utilized to train the models and promising areas of research. The sample includes a total of 137 works published between 1987 and 2020. This analysis starts with the first DL models (formerly Neural Networks) in the legal domain until the latest articles in the ongoing year. Our results show an increment of 300% on the total number of publications during the last 5 years, mainly on information extraction and classification tasks. Moreover, classification is the category with most publications with 39% of the total sample. Finally, we have identified that summarization and text generation as promising areas of research. These findings show that DL in the legal domain is currently in a growing stage, and hence it will be a promising topic of research in the coming years.","2375-9259","978-1-7281-9012-9","10.1109/ICDMW51313.2020.00113","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9346339","Legal Corpus;Deep Learning;Neural Networks","Deep learning;Law;Bibliometrics;Natural language processing;Data models;Task analysis;Artificial intelligence","artificial intelligence;deep learning (artificial intelligence);information analysis;natural language processing;neural nets;text analysis","legal domain;deep Learning;1987-2020;total sample;ongoing year;DL models;performed objectives;primary methodology;systematic bibliometric review;primary Artificial Intelligence method;5 years DL;Natural Language Processing;Deep Learning","","","","61","","16 Feb 2021","","","IEEE","IEEE Conferences"
"Legal Information Retrieval: Evaluating Case-Based Reasoning","S. R. d. Oliveira; M. B. B. Medeiros","NA; Dept. de Cienc. da Informacao e Documentacao, Univ. de Brasilia (UnB) Brasilia, Brasília, Brazil","2009 Seventh Brazilian Symposium in Information and Human Language Technology","29 Jul 2010","2009","","","167","170","This is a research whose object of study is to evaluate a legal Information Retrieval system precision. This information retrieval system is based on a model that uses artificial intelligence technique known as Case-Based Reasoning (CBR). The principle of CBR is that a past legal case can be useful to solve a current problem, since there is between them some degree of similarity. This research uses jurisprudences produced by the Regional Electoral Tribunal of the Distrito Federal. The precision degree was evaluated from the result of a set of queries submitted to it. The method adopted for the evaluation was the same used in the Text REtrieval Conference in 2007 by Legal Track Task.","","978-1-4244-6009-0","10.1109/STIL.2009.35","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5532453","Information Retrieval;Case-Based Reasoning;Information Retrieval System Evaluation;Electoral Jurisprudence;Similarity Calculation","Law;Legal factors;Information retrieval;Humans;Artificial intelligence;Single event transient","case-based reasoning;information retrieval;law administration","legal information retrieval;case-based reasoning;artificial intelligence technique;jurisprudences;Regional Electoral Tribunal of the Distrito Federal;Text Retrieval Conference;legal track task","","","","","","29 Jul 2010","","","IEEE","IEEE Conferences"
"CaseRank: Ranking case law using precedent and principal component analysis","M. C. Phahlamohlaka; M. Coetzee","Academy of Computer Science and Software Engineering, Faculty of Science, University of Johannesburg, Johannesburg, South Africa; Academy of Computer Science and Software Engineering, Faculty of Science, University of Johannesburg, Johannesburg, South Africa","2018 Conference on Information Communications Technology and Society (ICTAS)","31 May 2018","2018","","","1","6","Principal Component Analysis has been used to rank social graph data. However, within the context of case law, it has never been used in conjunction with precedent to rank case laws. This paper presents the CaseRank algorithm, a case law ranking algorithm based on PCA, and precedent. PCA is used to compute rankings, and court precedent is used to enforce court authority over these rankings, since courts do not enjoy the same authority in ruling. Current systems overlook the effect of precedent in case law social clusters. However, literature, together with legal experts, show that precedent plays a huge role in case law. A search engine is built to demonstrate the usefulness of CaseRank, but more importantly, the rankings. The CaseRank algorithm is general and easily adaptable to case law of any country or region, which eliminates territorial or context-based legal factors of different countries or regions. The rankings of case law are found to be logically correct in an objective/general sense. Furthermore, CaseRank provides a basis for future big data legal research, within the context of searching, and ranking.","","978-1-5386-1001-5","10.1109/ICTAS.2018.8368765","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8368765","Link analysis;case law;principal component analysis;stare decisis","Law;Principal component analysis;Clustering algorithms;Recommender systems;Tools;Web pages","law administration;principal component analysis;search engines","court precedent;case law social clusters;CaseRank algorithm;principal component analysis;social graph data;case law ranking algorithm;search engine;big data legal research","","","","23","","31 May 2018","","","IEEE","IEEE Conferences"
"A Classification Retrieval Approach for English Legal Texts","Z. Li","Int. Law Sch., East China Univ. of Political Sci. & Law, Shanghai, China","2019 International Conference on Intelligent Transportation, Big Data & Smart City (ICITBS)","21 Mar 2019","2019","","","220","223","It is a practical and complicated problem to find corresponding legal provisions automatically in the written description of the events in English legal texts. In order to solve this problem, this paper designs a classification method of legal texts based on feature words. Firstly, the relationship between legal provisions and characteristic words is established by taking the legal judgment documents as the training corpus, since the relevant legal provisions can be extracted accurately in the judgment documents. Then the characteristic words of the documents can be calculated by TF-IDF so it will be easy to establish corresponding relationship between legal provisions and the characteristic words. The chi-square statistic(CHI) and the position of feature words in the text are introduced as correction factors and integrated with traditional TF-IDF weight formula, which solve the problem of the distribution of feature words between classes and the insufficient importance of keywords. The experiments show that the algorithm can extract feature words from a variety of legal texts, and classify them into corresponding legal terms through calculation, so the classification effect of legal texts is proved to be excellent.","","978-1-7281-1307-4","10.1109/ICITBS.2019.00059","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8669581","TF-IDF;legal text;classification retrieval;CHI","Conferences;Transportation;Big Data;Smart cities","feature extraction;information retrieval;pattern classification;statistical analysis;text analysis","characteristic words;feature words;classification retrieval approach;English legal texts;legal judgment documents;relevant legal provisions;legal terms;legal provisions;chi-square statistic","","2","","11","","21 Mar 2019","","","IEEE","IEEE Conferences"
"New development for legal information retrieval using the Eurovoc Thesaurus and legal ontology","S. Cornoiu; H. Valean","APIA Cluj-Napoca, Romania; Faculty of Electrical Engineering, University of Cluj-Napoca, Romania","2013 17th International Conference on System Theory, Control and Computing (ICSTCC)","19 Dec 2013","2013","","","152","155","Full text search in the legal domain is not enough, because there is a gap between common sense and legal knowledge. We want to present some possible directions to solve the problem of full text search in legal domain. The gap can be bridged using a model that mixes tags from Eurovoc Thesaurus Schema Ontology and legal ontology in order to enrich information retrieval capabilities in the legal domain.","","978-1-4799-2228-4","10.1109/ICSTCC.2013.6688951","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6688951","","Law;Ontologies;Thesauri;Information retrieval;Legislation;Europe","information retrieval;law administration;ontologies (artificial intelligence);thesauri","legal information retrieval;Eurovoc thesaurus schema ontology;legal ontology;common sense;legal knowledge;full text search","","","","10","","19 Dec 2013","","","IEEE","IEEE Conferences"
"Divide and Translate Legal Text Sentence by Using Its Logical Structure","B. T. Hung; N. L. Minh; A. Shimazu","NA; NA; Grad. Sch. of Inf. Sci., Japan Adv. Inst. of Sci. & Technol., Nomi, Japan","2012 Seventh International Conference on Knowledge, Information and Creativity Support Systems","10 Jan 2013","2012","","","18","23","Translating legal text is generally considered to be difficult because legal text has some characteristics that make it different from other daily-use documents and legal text is usually long and complicated. In order boost the legal text translation quality, splitting an input sentence becomes mandatory. In this paper, we propose a novel method based on the logical structure of legal text sentence for dividing and translating legal text. We use a statistical learning method-Conditional Random Fields (CRFs) with rich linguistic information to recognize the logical structure of legal text sentence. We adapt the logical structure of legal text sentence to divide the sentence. By doing so, translation quality improves. Our experiments show that our approach can achieve better result for both Japanese-English and English-Japanese legal text translation by BLEU, NIST and TER score.","","978-1-4673-4564-4","10.1109/KICSS.2012.19","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6405605","phrase-based machine translation;logical structure of legal text sentence;CRFs","Law;Text recognition;Pensions;Training;Pragmatics;Standards","computational linguistics;language translation;learning (artificial intelligence);linguistics;statistical analysis;text analysis","legal text sentence;logical structure;legal text translation quality;input sentence;statistical learning;conditional random fields;linguistic information;Japanese English;English Japanese legal text translation;BLEU;NIST;TER score","","","","20","","10 Jan 2013","","","IEEE","IEEE Conferences"
"An approach for automatically structuring Vietnamese legal text","T. D. Bui; Q. B. Ho","Information System Department University of Science, Ho Chi Minh City, Vietnam; Information System Department University of Science, Ho Chi Minh City, Vietnam","2014 International Conference on Asian Language Processing (IALP)","4 Dec 2014","2014","","","187","190","Recognizing the structures of legal texts is significant to understand texts in this domain. In this paper, we describe a task of automatically structuring Vietnamese legal documents based on our study of this domain in several aspects: their linguistic features and patterns of recognition with trigger sets. The task focuses on the recognition of the logical structures of the documents stored in law database of Vietnam Ministry of Justice. A rule-based approach in association with some patterns is applied and is verified on a manually built corpus. Experimental result got 64.37% on assumption annotation, 64.15% on provision annotation and 75.76% on sanction annotation in the Fβ=1 score on the corpus of Vietnamese Enterprise Law articles.","","978-1-4799-5330-1","10.1109/IALP.2014.6973500","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6973500","legal text processing;text annotation;text mining;rule-based learning","Law;Databases;Pragmatics;Chapters;Text recognition","knowledge based systems;law administration;pattern recognition;text analysis","automatic Vietnamese legal text structuring;legal documents;linguistic features;pattern recognition;law database;Vietnam Ministry of Justice;rule-based approach;assumption annotation;provision annotation;sanction annotation;Vietnamese Enterprise Law articles","","3","","7","","4 Dec 2014","","","IEEE","IEEE Conferences"
"Visual Analysis of Similarity and Relationships Between Legal Texts","J. Opiła; T. Pełech-Pilichowski","AGH University of Science and Technology,Cracow,Poland; AGH University of Science and Technology,Cracow,Poland","2020 43rd International Convention on Information, Communication and Electronic Technology (MIPRO)","6 Nov 2020","2020","","","1482","1487","Visualization of texts of legal acts, based on an assumption of high level of their informativeness, goes beyond the process of visualization of a text in a given file format. The large dimensionality of databases of legal texts, complex relationships between them (including multi-level and often time dependent references), ambiguity of terms used in various legal acts, specificity of regulations in different countries of EU and a number of other factors make difficult effective and ergonomic visualization of information to a user, including various user groups/profiles (for example, lawyers, judges, entrepreneurs). The article presents the issue of processing legal texts as non-standard texts, difficult to process with the natural language processing (NLP) tools. The aim of such tools is to achieve a high processing efficiency for input data containing texts written in everyday (common) language, mainly English one. Problems of visualization of texts of legal acts as a graphical presentation of the values and relations of attributes in analyzed legal text are discussed. Issues of “attributing” of legal texts are outlined to give a possibility of their further processing aimed at information and knowledge extraction, in particular for the purposes of analyzing a similarity of texts and their visualization.","2623-8764","978-953-233-099-1","10.23919/MIPRO48935.2020.9245296","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9245296","Legal texts;Legal acts;EU Law;Visualization;Attributization;NLP;Analysis of text similarities","Visualization;Law;Data visualization;Tools;Natural language processing;Visual databases;Text processing","data visualisation;database management systems;ergonomics;law;natural language processing;text analysis","legal acts;visual analysis;ergonomic visualization;legal text processing;natural language processing;legal text analysis;legal text database;NLP","","","","17","","6 Nov 2020","","","IEEE","IEEE Conferences"
"NLP Based Latent Semantic Analysis for Legal Text Summarization","K. Merchant; Y. Pande","Dwarkadas J. Sanghvi College of Engineering, Mumbai, India; Dwarkadas J. Sanghvi College of Engineering, Mumbai, India","2018 International Conference on Advances in Computing, Communications and Informatics (ICACCI)","2 Dec 2018","2018","","","1803","1807","It is very essential for lawyers and ordinary citizens to do an exhaustive research related to their case before they answer questions in court. For quite some time they have had to read extremely long judgements and try to pick out the useful information from them or hire legal editors to create summaries. We propose an automated text summarization system that generates short and useful summaries from lengthy judgements. We make use of a natural language processing technique called latent semantic analysis (LSA) to capture concepts within a single document. We use two approaches-a single document untrained approach and a multi-document trained approach depending on the type of input case (criminal or civil). Our data was collected from official government sites that included Supreme Court, high court and district court cases and our model achieved an average ROGUE-1 score of 0.58. Finally, our system was approved by professional lawyers. In the future we aim to provide better continuity within our generated summaries and evaluate our system more accurately.","","978-1-5386-5314-2","10.1109/ICACCI.2018.8554831","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8554831","Latent semantic analysis;legal;text summarization;natural language processing","Semantics;Law;Matrix decomposition;Natural language processing;Sparse matrices","natural language processing;question answering (information retrieval);text analysis","legal editors;automated text summarization system;lengthy judgements;natural language processing technique;multidocument trained approach;district court cases;professional lawyers;legal text summarization;NLP based latent semantic analysis;answer questions;LSA;official government sites;high court cases;supreme court cases","","2","","18","","2 Dec 2018","","","IEEE","IEEE Conferences"
"Legal Entity Recognition in Indonesian Court Decision Documents Using Bi-LSTM and CRF Approaches","E. Q. Nuranti; E. Yulianti","Universitas Indonesia,Faculty of Computer Science,Depok,Indonesia; Universitas Indonesia,Faculty of Computer Science,Depok,Indonesia","2020 International Conference on Advanced Computer Science and Information Systems (ICACSIS)","23 Nov 2020","2020","","","429","434","The increasing number of Indonesian court decision documents requires special attention to be managed and used efficiently. One thing is to recognize legal entities to identify relevant legal information in the documents. This research examines the effectiveness of several deep learning methods, to recognize ten legal entities in Indonesian court decision documents. In this task, we found that the combination of Bi-LSTM and CRF methods achieve the highest F-1 score of 0.83. It outperforms other deep learning methods (CNN, LSTM, LSTM+CRF and Bi-LSTM) by 2 - 12 % and machine learning methods (SVM and CRF) by 41 - 76 %. The results show that this model can be used to identify relevant information about the legal domain in Indonesia.","2330-4588","978-1-7281-9279-6","10.1109/ICACSIS51025.2020.9263157","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9263157","legal processing;legal entity recognition;legal document;name entity recognition;ner;bi-lstm;lstm;crf","Xenon;6G mobile communication","document handling;information retrieval;law;learning (artificial intelligence);natural language processing;recurrent neural nets;support vector machines","legal entity recognition;Indonesian court decision documents;Bi-LSTM;legal entities;legal information;deep learning methods;CRF methods;legal domain;machine learning methods","","","","16","","23 Nov 2020","","","IEEE","IEEE Conferences"
