0,number,1.0
1,negation,1.0
2,relevant literature,1.0
3,majority,1.0
4,time framework,1.0
5,regional entity,1.0
6,code,2.0
7,attentive charge prediction model,1.0
8,cluster,1.0
9,gold set,1.0
10,employing ranking,1.0
11,experimental dataset,2.0
12,news,1.0
13,english legal judgment prediction dataset,1.0
14,intersection,1.0
15,record,1.0
16,means,1.0
17,access,1.0
18,classification,4.0
19,appellate court decision,1.0
20,word vector,1.0
21,implication,1.0
22,complex nature,1.0
23,performing,2.0
24,named entity recognition,1.0
25,machine learning,5.0
26,voice,1.0
27,embeddings,1.0
28,variety,3.0
29,estimation,1.0
30,legislation knowledge,1.0
31,deep learning,8.0
32,wise attention,1.0
33,output,1.0
34,framing strategy,1.0
35,product,2.0
36,patent information,1.0
37,translation system,1.0
38,summarization,3.0
39,quality thesaurus,1.0
40,relevant article,1.0
41,administrative process,1.0
42,answering using ranking,1.0
43,bar exam,1.0
44,svm information retrieval component,1.0
45,natural language,1.0
46,uspto-2,1.0
47,english,3.0
48,person,1.0
49,appropriate cluster identification algorithm,1.0
50,existing solution,1.0
51,modificatory provisions,1.0
52,entailment dataset,1.0
53,purpose,1.0
54,background,1.0
55,based model,1.0
56,word model,1.0
57,ranking,2.0
58,annotation,2.0
59,new dataset,3.0
60,speed,1.0
61,end,1.0
62,human expert,1.0
63,description,2.0
64,automatic feature,1.0
65,term memory,1.0
66,billsum,1.0
67,word embeddings,2.0
68,applying,1.0
69,paragraph article,1.0
70,upper court,1.0
71,appeal,2.0
72,respective machine,1.0
73,feature,11.0
74,modification,1.0
75,learning model,1.0
76,legal content,1.0
77,investigation,1.0
78,improved system,1.0
79,thousand,1.0
80,unsupervised method,1.0
81,stacking,1.0
82,training,2.0
83,technique,4.0
84,japan,1.0
85,administrative open access,1.0
86,dutch,1.0
87,binary violation classification,1.0
88,spanish legal text,1.0
89,different source,1.0
90,previous unsupervised method,1.0
91,comparative law,1.0
92,synonym,1.0
93,first dataset,1.0
94,entire corpus,1.0
95,board,1.0
96,collection process,1.0
97,art,5.0
98,great progress,1.0
99,ireland,1.0
100,feasibility,1.0
101,specific argument,1.0
102,focus,1.0
103,result,12.0
104,legal information extraction,2.0
105,limitation,1.0
106,ranking svm information,1.0
107,strong baseline,1.0
108,showing,1.0
109,traditional machine learning approach,1.0
110,text similarity,1.0
111,considerable room,1.0
112,title,1.0
113,brazilian legal document,1.0
114,answerability,1.0
115,interaction,1.0
116,spacy,1.0
117,outcome,3.0
118,patent classifier,1.0
119,neural language model,1.0
120,utility,2.0
121,word embedding,1.0
122,available general domain,1.0
123,relevance,1.0
124,lstm,1.0
125,deep learning approach,2.0
126,accurate relevance,1.0
127,legal information retrieval,2.0
128,relevant case retrieval,1.0
129,text classification,3.0
130,solution,2.0
131,semantics,1.0
132,research,1.0
133,time,2.0
134,human performance,1.0
135,network,12.0
136,janeiro jurisprudence,1.0
137,scale case law entailment dataset,1.0
138,different aspect,2.0
139,sequential nature,1.0
140,recurrent neural networks,1.0
141,implementing measure,1.0
142,choice,1.0
143,case retrieval dataset,1.0
144,organization,2.0
145,answering using ranking svm,1.0
146,patent knowledge,1.0
147,several discriminative attribute,1.0
148,machine detection of generated text,1.0
149,datum,6.0
150,document type classification,1.0
151,shot learning,1.0
152,treaty language,1.0
153,legal language modeling,1.0
154,other baseline,1.0
155,consistent improvement,1.0
156,multilabel,1.0
157,stacked bilstm,1.0
158,aggregating paragraph,1.0
159,reference translation,1.0
160,open source resource,1.0
161,charge prediction,1.0
162,better method,1.0
163,knowledge mining,1.0
164,vector,5.0
165,keyword query,1.0
166,using spacy,1.0
167,political speech,1.0
168,rule,2.0
169,default,1.0
170,annotating sentence,1.0
171,further improvement,1.0
172,criminal case,1.0
173,legal perspective,1.0
174,common keyword query,1.0
175,querying,1.0
176,novel dataset,1.0
177,best method,1.0
178,legal text,6.0
179,specialized ir task,1.0
180,relevant answer,1.0
181,legal citation,1.0
182,learning to rank,1.0
183,unsupervised semantic similarity,1.0
184,legal assistant,1.0
185,membership,1.0
186,previous feature,1.0
187,legal production,1.0
188,releasing,1.0
189,supporting,2.0
190,case law entailment dataset,1.0
191,comparison,2.0
192,topic model,1.0
193,design,2.0
194,independent human reference,1.0
195,extraction task,1.0
196,asymmetry,1.0
197,entity recognition,1.0
198,supervised text,1.0
199,label state,1.0
200,selected treaty design benchmark,1.0
201,expectation,1.0
202,label,3.0
203,nim,1.0
204,surrounding text,1.0
205,computer,2.0
206,rio,1.0
207,editing model,1.0
208,sense,1.0
209,database,2.0
210,using frame,1.0
211,ruling case,1.0
212,latent policy,1.0
213,information extraction,3.0
214,transformer,1.0
215,legal effect,1.0
216,human validation,1.0
217,regularization,1.0
218,embedding representation,1.0
219,allowing,1.0
220,theme assignment,1.0
221,continuous vector space,2.0
222,neural legal judgment,1.0
223,extreme multi label legal text classification,1.0
224,part,3.0
225,cnn,1.0
226,subclass,1.0
227,legal documents,1.0
228,exploration,1.0
229,automatic citation analysis,1.0
230,such translation,1.0
231,analysed time framework,1.0
232,distinct argument,1.0
233,contract,1.0
234,dynamic topic,1.0
235,previous study,1.0
236,idf,1.0
237,top,1.0
238,human right,2.0
239,meaningful text,1.0
240,art patent,1.0
241,frame,1.0
242,legal question answering,2.0
243,privacyqa corpus,1.0
244,argumentative sentence,1.0
245,han,1.0
246,corresponding entity,1.0
247,lexical feature,2.0
248,greek language,1.0
249,learning algorithm,2.0
250,one,1.0
251,powerful new approach,1.0
252,privacy,1.0
253,large number,1.0
254,public datum,1.0
255,experience,1.0
256,size,1.0
257,investment,1.0
258,tax,1.0
259,semantic analysis,1.0
260,statistical feature,1.0
261,world utility,1.0
262,precision,1.0
263,full text,1.0
264,legal judgment,1.0
265,attentive charge prediction,1.0
266,xmtc,1.0
267,question,3.0
268,using ranking,1.0
269,decision support,1.0
270,retrieval task,4.0
271,multi label text,1.0
272,local entropy,1.0
273,based classifier,1.0
274,source,2.0
275,including,3.0
276,new approach,1.0
277,additional information,1.0
278,court decision,1.0
279,effective signal,1.0
280,domain knowledge,1.0
281,fuzzy membership,1.0
282,collection,2.0
283,linking,1.0
284,discriminative attribute,1.0
285,bar,1.0
286,allowing annotator,1.0
287,spanish legal text processing,1.0
288,current investment treaty,1.0
289,system performance,2.0
290,named entity,1.0
291,label text,1.0
292,citation,1.0
293,supervised machine learning,1.0
294,automatic feature extraction,1.0
295,mean,2.0
296,scale case,1.0
297,resource,3.0
298,aspect,2.0
299,improving,1.0
300,scale case retrieval,1.0
301,retrieval system performance,2.0
302,content,4.0
303,summarizing document,2.0
304,mining,2.0
305,privacyqa,1.0
306,performance,6.0
307,greek legislation,1.0
308,amount,1.0
309,using bag,2.0
310,spanish corpus,1.0
311,customer,1.0
312,national implementation,1.0
313,prediction,3.0
314,legal domain,5.0
315,public dataset,1.0
316,tool,3.0
317,tune,1.0
318,other open public dataset,1.0
319,common form,1.0
320,computational cost,1.0
321,appearing,1.0
322,company,1.0
323,character,2.0
324,semantic edge,1.0
325,manner,1.0
326,hand,2.0
327,nlp,1.0
328,experimenting,2.0
329,european directive,1.0
330,case importance,1.0
331,legal scenario,1.0
332,parameter study,1.0
333,label legal text classification,1.0
334,side,1.0
335,engineering,1.0
336,learning method,1.0
337,policy,2.0
338,speech,2.0
339,unsatisfactory performance,1.0
340,california state,1.0
341,based method,1.0
342,efficiency,1.0
343,benchmark,3.0
344,predictive model,1.0
345,information retrieval component,1.0
346,traditional machine,1.0
347,strong neural baseline,1.0
348,paper,7.0
349,space,4.0
350,different approach,1.0
351,machine translation quality,1.0
352,persistent difference,1.0
353,framework,5.0
354,proposed method,1.0
355,attention network,1.0
