doi,keywords
10.1109/ACCESS.2019.2943668,"['classification', 'domain', 'ontology', 'lstm', 'legal', 'knowledge', 'graph lstm', 'graph', 'documents', 'chinese']"
10.1109/ICIIS51140.2020.9342650,"['absa', 'legal', 'dataset', 'legal domain', 'domain', 'sigmalaw absa', 'sigmalaw', 'publicly available', 'publicly', 'opinion']"
10.1109/KSE.2019.8919370,"['rhetorical', 'document', 'court document', 'court', 'analysis', 'processing', 'sentence', 'information', 'tasks', 'task']"
10.1109/KSE.2016.7758062,"['approaches', 'vietnamese', 'neural networks', 'neural', 'networks', 'lstm', 'vietnamese legal documents', 'vietnamese legal', 'vietnamese business law', 'vietnamese business']"
10.1109/ICACSIS51025.2020.9263157,"['methods', 'lstm', 'legal', 'learning methods', 'learning', 'documents', 'crf', 'used', 'relevant', 'recognize']"
10.1109/BigData47090.2019.9006182,"['legal', 'models', 'learning models', 'learning', 'text', 'settings', 'review', 'predictive coding', 'predictive', 'performance']"
10.1109/QRS-C.2019.00038,"['intelligence', 'problem', 'methods', 'legal', 'learning', 'framework', 'data', 'artificial intelligence', 'artificial', 'accusation']"
10.1109/ICSSIT48917.2020.9214278,"['judicial', 'india', 'text', 'nlp', 'law', 'data', 'cnn', 'case', 'bailable', 'work data taken']"
10.1109/ICDMW51313.2020.00116,"['supreme court', 'supreme', 'court', 'approach', 'used', 'use', 'supreme court database', 'supervised', 'semi supervised', 'semi']"
10.1109/NICS51282.2020.9335906,"['legal', 'vietnamese legal', 'vietnamese', 'question', 'model', 'language', 'bert', 'achieve', 'vietnamese legal domain', 'systems']"
all papers,"['legal', 'learning', 'domain', 'court', 'lstm', 'legal domain', 'deep', 'deep learning', 'based', 'methods']"
