Identifier,Title,Year,Main venue,2nd venue,Included,Search type,Database search,OBS
4384161,Addressing Legal Requirements in Requirements Engineering,2007,,,no,Query,IEEE,
1684499,Framework for e-Government Information Systems Engineering: Describing the Organizational Layers,2006,,,no,Query,IEEE,
7477104,Legal issues in Virtual Professional Communities,2006,,,no,Query,IEEE,
4104511,Comparative Analysis of the Latin American Legal Framework for the Electrical Sector,2006,,,no,Query,IEEE,
4591568,Software Engineering Interpretation of Information Processing Regulations,2008,,,no,Query,IEEE,
4797563,Security games for vehicular networks,2008,,,no,Query,IEEE,
4781663,Computer Aided Legal Support System: An initial framework for retrieving legal cases by case base reasoning approach,2008,,,no,Query,IEEE,
4797465,A Requirements-based Comparison of Privacy Taxonomies,2008,,,no,Query,IEEE,
5328596,Developing Production Rule Models to Aid in Acquiring Requirements from Legal Texts,2009,,,no,Query,IEEE,
5532453,Legal Information Retrieval: Evaluating Case-Based Reasoning,2009,,,no,Query,IEEE,
5070616,Notice of Violation of IEEE Publication Principles: The Explore of the Law Role in Software Requirements Engineering,2009,,,no,Query,IEEE,
5626173,Patents on diagnostic methods in Europe under the European Patent Convention (EPC),2010,,,no,Query,IEEE,
6035459,The legal research on intellectual property rights in global supply chain integration,2011,,,no,Query,IEEE,
6051647,A legal cross-references taxonomy for identifying conflicting software requirements,2011,,,no,Query,IEEE,
6146854,Data mining and visualization on legal documents,2011,,,no,Query,IEEE,
6051734,Discovering Chinese Compound Term Using Termhood and Unithood Measures,2011,,,no,Query,IEEE,
6354473,Problems of automatic processing and analysis of information from Polish legal texts,2012,,,no,Query,IEEE,
6214781,Using Formal Verification and Robotic Evolution Techniques to Find Contradictions in Laws Concerning Police Rules of Engagement,2012,,,no,Query,IEEE,
6504271,Malaysia: Bioethics as a biosecurity measure for monitoring genetic engineering activities against the threat of bioterrorism,2012,,,no,Query,IEEE,
6459879,Practical fingerprint analysis process and challenges both internal and external for the latent print community,2012,,,no,Query,IEEE,
6405605,Divide and Translate Legal Text Sentence by Using Its Logical Structure,2012,,,no,Query,IEEE,
6239780,A Method of Legal Text Formalization,2012,,,no,Query,IEEE,
6240443,Extracting security requirements from relevant laws and regulations,2012,,,no,Query,IEEE,
6786141,A Comprehension Approach for Formalizing Privacy Rules of HIPAA for Decision Support,2013,,,no,Query,IEEE,
6688951,New development for legal information retrieval using the Eurovoc Thesaurus and legal ontology,2013,,,no,Query,IEEE,
6636760,The regulatory world and the machine: Harmonizing legal requirements and the systems they affect,2013,,,no,Query,IEEE,
6480211,Effect of R&D Tax Credit on the Cost-Metrics of Cloud Computing: A Case Study from France,2013,,,no,Query,IEEE,
6671346,Legal requirements analysis and modeling with the measured compliance profile for the goal-oriented requirement language,2013,,,no,Query,IEEE,
6595503,Law and adaptivity in requirements engineering,2013,,,no,Query,IEEE,
6912248,Automated detection and resolution of legal cross references: Approach and a study of Luxembourg's legislation,2014,,,no,Query,IEEE,
6912250,Identifying and classifying ambiguity for regulatory requirements,2014,,,no,Query,IEEE,
6912269,The role of legal expertise in interpretation of legal requirements and definitions,2014,,,no,Query,IEEE,
6927573,Learning of Legal Ontology Supporting the User Queries Satisfaction,2014,,,no,Query,IEEE,
6973500,An approach for automatically structuring Vietnamese legal text,2014,,,no,Query,IEEE,
6911479,Automatic Extraction of Catchphrases from Software License Agreement,2014,,,no,Query,IEEE,
6890955,Assessing cryptographic signature schemes from a legal perspective,2014,,,no,Query,IEEE,
7219809,An information extraction framework for legal documents: A case study of Thai Supreme Court verdicts,2015,,,no,Query,IEEE,
7321278,"Improving legal information retrieval using the Wikipedia knowledge base, legal ontology and the Eurovoc Thesaurus",2015,,,no,Query,IEEE,
7313361,Formalising Traffic Rules for Accountability of Autonomous Vehicles,2015,,,no,Query,IEEE,
7330211,Comparing and analyzing definitions in multi-jurisdictions,2015,,,no,Query,IEEE,
7364092,Parallelizing natural language techniques for knowledge extraction from cloud service level agreements,2015,,,no,Query,IEEE,
7507219,Towards an Arabic legal ontology based on documents properties extraction,2015,,,no,Query,IEEE,
7114455,New tools for e-justice: legal research available to any citizen,2015,,,no,Query,IEEE,
7521572,Teaching and learning modeling and specification based on mobile devices and cloud,2016,,,no,Query,IEEE,
8057467,A Question Answer System for the Mauritian Judiciary,2016,,,no,Query,IEEE,
7476076,A linguistic method for Arabic normative provisions' annotation based on contextual exploration,2016,,,no,Query,IEEE,
7548042,Transformation of the Perpetual Usufruct Right Into the Ownership of a Real Property Estate,2016,,,no,Query,IEEE,
10.1109/KSE.2016.7758062,Recognizing logical parts in legal texts using neural architectures,2016,KSE,Not applicable,yes,Query,IEEE,
7516131,Detecting hidden structures from Arabic electronic documents: Application to the legal field,2016,,,no,Query,IEEE,
7815628,Establishing Reusable Requirements Derived from Laws and Regulations for Medical Device Development,2016,,,no,Query,IEEE,
7851781,Development and evaluation of a self-learning support system for Patent Act suited to the current state of intellectual property education in engineering departments,2016,,,no,Query,IEEE,
7752308,Selecting the cases that defined Europe: Complementary metrics for a network analysis,2016,,,no,Query,IEEE,
8046278,Legal Ontology for Open Government Data Mashups,2017,,,no,Query,IEEE,
8046280,Towards ECLI 2.0,2017,,,no,Query,IEEE,
8328459,Modular Norm Models: A Lightweight Approach for Modeling and Reasoning about Legal Compliance,2017,,,no,Query,IEEE,
8049136,Legal Markup Generation in the Large: An Experience Report,2017,,,no,Query,IEEE,
8054854,From RELAW Research to Practice: Reflections on an Ongoing Technology Transfer Project,2017,,,no,Query,IEEE,
8300536,Corpus for the legal information processing system (CLIPS): A Chinese legal corpus annotated with discourse information,2017,,,no,Query,IEEE,
8615485,Identifying Relationships Among Sentences in Court Case Transcripts Using Discourse Relations,2018,,,no,Query,IEEE,
8674372,Protecting Consumers from Misleading Online Advertisement for Herbal and Traditional Medicines in Malaysia: Are the Laws Sufficient?,2018,,,no,Query,IEEE,
8368765,CaseRank: Ranking case law using precedent and principal component analysis,2018,,,no,Query,IEEE,
8753065,Harmonizing Criminal Law Provisions on Money Laundering - A Litmus Test of European Integration,2018,,,no,Query,IEEE,
8536103,A Box of Bricks for Modelling Domain-Specific Compliance Pattern,2018,,,no,Query,IEEE,
8622323,Break up the Family: Protocols for Efficient Recall-Oriented Retrieval Under Legally-Necessitated Dual Constraints,2018,,,no,Query,IEEE,
8615187,Development and Use of a Video On Demand e-Learning System with Logic Circuit Exercises for Teaching Intellectual Property Law,2018,,,no,Query,IEEE,
8384851,Integration of UAS in existing air traffic management systems connotations and consequences,2018,,,no,Query,IEEE,
8618210,The Story Development of Penal Law Online News Articles Visualization,2018,,,no,Query,IEEE,
8554831,NLP Based Latent Semantic Analysis for Legal Text Summarization,2018,,,no,Query,IEEE,
10.1109/IC-AIAI.2018.8674441,Lawyer's Intellectual Tool for Analysis of Legal Documents in Russian,2018,IC-AIAI,Not applicable,yes,Query,IEEE,
8658659,An Information Extraction Model Using a Graph Database to Recommend the Most Applied Case,2018,,,no,Query,IEEE,
9001363,A Comparative Study to Determine a Suitable Legal Knowledge Representation Format,2018,,,no,Query,IEEE,
10.1109/KSE.2019.8919370,An Approach of Rhetorical Status Recognition for Judgments in Court Documents using Deep Learning Models,2019,KSE,Not applicable,yes,Query,IEEE,
8999300,Does Semantic Search Performs Better than Lexical Search in the Task of Assisting Legal Opinion Writing?,2019,ICMLA,,no,Query,IEEE,
8906896,Using Models to Enable Compliance Checking Against the GDPR: An Experience Report,2019,,,no,Query,IEEE,
8859981,Deriving Workflow Privacy Patterns from Legal Documents,2019,,,no,Query,IEEE,
9075650,A Framework for Detection and Identification the Components of Arguments in Arabic Legal Texts,2019,,,no,Query,IEEE,
10.1109/QRS-C.2019.00038,Using Case Facts to Predict Accusation Based on Deep Learning,2019,QRS-C,Not applicable,yes,Query,IEEE,
8920583,A Query System for Extracting Requirements-Related Information from Legal Texts,2019,,,no,Query,IEEE,
10.1109/BigData47090.2019.9006182,Experimental Evaluation of CNN Parameters for Text Categorization in Legal Document Review,2019,IEEE BigData,Not applicable,yes,Query,IEEE,
8823886,Towards Enhanced Accountability in Complying with Healthcare Regulations,2019,,,no,Query,IEEE,
8669581,A Classification Retrieval Approach for English Legal Texts,2019,,,no,Query,IEEE,
8944094,Proposal of Nationwide Expert Database of Offenses and Crimes Research in Slovakia - New Case Study of Košice,2019,,,no,Query,IEEE,
8734366,Analysing Dissenting Votes Through Electronic Justice From Online Posts to Streets: A Real Case,2019,,,no,Query,IEEE,
1623903,Modeling and Advanced Exploitation of eChronicle ‘ Narrative' Information,2006,,,no,Query,IEEE,
5499241,Reflections on legislation about construction of integrated transportation system,2009,,,no,Query,IEEE,
5386539,Legal research topics in user-centric services,2008,,,no,Query,IEEE,No access
8709665,Information Mining From Criminal Judgments of Lahore High Court,2019,,,no,Query,IEEE,
